County,Year,Median Household Income,Median Home Value,Median Gross Rent,Total owner-occupied housing units,Median monthly owner costs with a mortgage,Owners spending 30% of income on housing,Renters spending 30% of income on rent,Owners spending 30%-34.9% of income on costs (with mortgage),Owners spending 35%+ of income on costs (with mortgage),Total Housing Units,Occupied Units,Vacant Units,Owner-occupied Units,Renter-occupied Units,Renters spending 50%+ of income on rent,Owners with a mortgage spending 50%+ of income on housing,Median Income for all households,Median income ages 25 and under,Median income ages 25 t0 44,Median inome ages 45-64,Median income ages 65 +,Median earning for all educaiton levels,Median earning for less than high school grad,Median earning for high school grad,Median earning for some college or associates degree,Median earning for bachelor's degree,Median earning for graduate or professional degree,"Income < $50,000","Income $50,000 - $99,999","Income $100,000 - $149,999","Income $150,000 to $199,999","Income $200,000 or more",Ages 20-34,Ages 35-44,Ages 45-54,"Owner-occupied, ages 25-34","Owner-occupied, aged 35-44","Owner-occupied, aged 45-54","Renter-occupied, aged 25-34","Renter-occupied, aged 35-44","Renter-occupied, aged 45-54"
"Washington County, Oregon",2019,82215,386600,1359,1693,1972,93,7277,2196,1589,229077,219053,10024,135022,84031,17733,632,82215,46758,88513,97267,54609,47465,26106,31870,41212,61129,88533,30920,68381,42334,22440,22627,60380,88671,78489,568,14042,26672,22539,9157,2971
"Clackamas County, Oregon",2019,80484,395100,1295,1645,2003,14,3604,2313,1569,167104,157408,9696,111885,45523,11498,850,80484,48810,88664,98745,55315,47685,28660,36491,44067,61182,75370,21039,49851,29575,14729,17161,34655,53696,55709,392,9226,18341,22288,9267,2728
"Multnomah County, Oregon",2019,69176,386200,1237,1622,1924,71,12512,3688,2173,348029,326229,21800,177889,148340,37548,1502,69176,32353,77164,76909,49459,42271,24949,30642,35071,51406,70511,48957,97674,54790,24555,29154,94462,131808,105536,617,17602,38329,29506,12122,4292
"Clackamas County, Oregon",2020,82911,421100,1356,1683,2067,213,3734,2032,1511,168828,159330,9498,113015,46315,11400,904,82911,49980,90847,102046,59014,48237,30589,37800,44475,62262,78247,20477,50057,30187,15748,18524,34934,55216,55252,494,9116,19354,22904,9457,3094
"Multnomah County, Oregon",2020,71425,410800,1309,1682,1989,93,13467,4435,2283,353735,334849,18886,182072,152777,38607,1368,71425,34964,79170,80896,52498,43858,25150,31513,36711,53070,72076,49437,98424,57157,27166,33788,95693,133719,106629,597,17728,38400,31387,12380,4804
"Washington County, Oregon",2020,86626,413500,1440,1725,2024,185,7717,2094,1595,232032,223040,8992,136707,86333,17583,587,86626,48108,95909,103366,57507,49362,27200,33107,42339,63115,90601,29241,67625,46751,24299,24726,60784,89993,78772,547,13815,26270,23554,9762,3198
"Clackamas County, Oregon",2021,88517,452200,1447,1774,2191,71,3605,2085,1477,169113,159553,9560,113948,45605,12273,924,88517,51767,98952,108384,62762,51423,31630,38607,47379,65101,82847,20181,46281,31405,17779,21023,34621,57027,55556,475,9077,19987,23679,9698,2990
"Multnomah County, Oregon",2021,76290,437600,1394,1775,2119,109,13363,4520,2350,358675,339228,19447,185493,153735,38253,1340,76290,37383,85412,84266,57368,46975,26685,33746,39154,57071,77961,47879,97727,59539,31017,38272,96181,136432,108283,525,18170,39030,32856,12494,4481
"Washington County, Oregon",2021,92025,439300,1541,1812,2151,138,8214,2117,1572,234852,226412,8440,138305,88107,17977,674,92025,49559,101803,109991,59965,52966,30095,36271,45054,67072,95688,27514,66525,46882,26677,29867,60513,91603,79341,595,13980,26739,23762,10232,2953
"Clackamas County, Oregon",2022,95740,532200,1605,1925,2370,65,3485,2330,1543,170723,160984,9739,114452,46532,12534,1070,95740,53544,108275,116104,68201,55711,34581,41203,51076,70032,88794,18469,44642,32382,19410,25598,34994,57813,55203,511,9222,20190,23810,10531,3165
"Multnomah County, Oregon",2022,83668,492100,1515,1926,2300,66,13239,4311,2521,363661,343370,20291,187084,156286,38307,1527,83668,43140,93445,94492,61332,52272,29400,37133,42998,63574,85402,44071,94915,62734,34650,47552,95773,136756,108839,747,18067,38694,33004,13636,4551
"Washington County, Oregon",2022,100121,504300,1695,1931,2319,65,8615,2247,1448,237586,230122,7464,140168,89954,19696,635,100121,54502,110635,119939,65021,58550,34352,40936,49050,75240,104537,25076,62824,47060,29719,38436,60699,92324,79313,678,13961,27409,24045,10941,3161
"Clackamas County, Oregon",2023,100360,577900,1693,1972,2451,121,3961,2707,1625,172599,162762,9837,116115,46647,12505,932,100360,56636,114680,119522,72151,57906,37799,42433,52826,73198,92356,17842,44054,33120,19859,28726,34788,58777,55345,629,9794,20732,24316,10779,3274
"Multnomah County, Oregon",2023,86247,528000,1582,2012,2396,53,14007,4403,2657,367704,347392,20312,187953,159439,40090,1587,86247,45411,96961,96958,63812,55234,33125,39283,45276,67355,88692,43299,94240,60969,37036,53373,95677,137395,109343,982,18346,39894,32937,13598,4324
"Washington County, Oregon",2023,104434,558500,1773,2007,2411,46,8938,2141,1553,240409,232366,8043,141441,90925,20067,787,104434,57393,114578,124479,68838,61975,35055,43095,51630,79610,107242,23262,61904,47484,30949,43201,61426,93314,79566,629,14341,27664,24741,10863,3321
